abbr,english,chinese,meaning,category
LLM,Large Language Model,大语言模型,以海量文本、代码等数据训练的大规模神经网络模型，可用于问答、写作、总结、翻译、代码生成和对话等任务。,基础概念
LLMs,Large Language Models,大语言模型（复数）,LLM 的复数形式，指多个大语言模型，或大语言模型这一类模型。,基础概念
AI,Artificial Intelligence,人工智能,让机器具备感知、推理、学习、生成和决策等能力的技术总称。,基础概念
DLI,Deep Learning Institute,深度学习培训中心,NVIDIA 的培训体系，提供深度学习、生成式 AI、加速计算等课程和证书。,NVIDIA 生态
NeMo,Neural Modules / NVIDIA NeMo,神经模块 / NVIDIA NeMo 框架,NVIDIA 面向生成式 AI 和大模型开发的框架生态，可用于数据处理、训练、微调、评估、对齐和部署相关工作。,NVIDIA 生态
NeMo Curator,NVIDIA NeMo Curator,NeMo 数据策展工具,用于大规模数据清洗、去重、过滤、质量筛选、PII 去除和合成数据准备的工具。,数据
PII,Personally Identifiable Information,个人身份信息,可识别个人身份的信息，如姓名、邮箱、电话、身份证号、地址等。训练数据中通常需要检测和删除，以降低隐私风险。,数据
QA,Question Answering / Question-Answer Pair,问答 / 问答对,在课程中主要指用于 SFT 的“问题-答案”训练样本，可训练模型按照指定任务格式回答。,数据
SFT,Supervised Fine-Tuning,监督微调,使用人工标注或高质量样本对模型进行有监督训练，让模型学会特定任务、格式、语言风格或技能。,模型定制
CPT,Continued Pre-Training,持续预训练,在已有基础模型上继续使用领域语料进行预训练，主要用于给模型注入新的领域知识。,模型定制
DPO,Direct Preference Optimization,直接偏好优化,使用偏好数据直接优化模型行为，使模型输出更符合人类偏好，例如更安全、更正式、更符合特定语气或风格。,模型定制
RL,Reinforcement Learning,强化学习,通过奖励信号优化行为策略的机器学习方法。在大模型对齐中常用于让模型输出更符合人类偏好。,模型定制
NeMo-RL,NVIDIA NeMo Reinforcement Learning,NeMo 强化学习框架,NVIDIA NeMo 生态中用于强化学习和模型对齐任务的组件，可用于运行 DPO 等对齐任务。,NVIDIA 生态
MMLU,Massive Multitask Language Understanding,大规模多任务语言理解,常用的大语言模型评估基准，覆盖多学科、多领域知识，用于衡量模型的综合知识和推理能力。,评估
LLM-as-a-Judge,Large Language Model as a Judge,大语言模型作为裁判,使用另一个 LLM 对模型输出进行自动评价，例如判断回答是否准确、是否符合风格、是否安全、是否有帮助。,评估
ELO,Elo Rating System,Elo 等级评分系统,原用于棋类比赛的相对评分方法。在模型评估中可用于比较不同模型或不同回答之间的相对优劣。严格说不是首字母缩写，而是以 Arpad Elo 命名。,评估
zero-shot,Zero-shot,零样本,模型在没有示例的情况下直接完成任务，用于测试模型本身的泛化能力。,评估
few-shot,Few-shot,少样本,在提示词中给少量示例，让模型根据上下文学习任务格式和答案风格。,评估
ICL,In-Context Learning,上下文学习,通过提示词中的示例或上下文让模型临时学会任务，而不更新模型参数。few-shot 通常属于 ICL。,评估
MLflow,Machine Learning Flow,机器学习流程管理工具,用于记录、跟踪、比较和可视化实验结果的工具。课程中用于跟踪 LLM 评估实验。,评估
TensorRT-LLM,TensorRT for Large Language Models,TensorRT 大语言模型推理优化库,NVIDIA 面向 LLM 推理加速的库，用于优化推理速度、吞吐量和显存占用。,部署优化
PTQ,Post-Training Quantization,后训练量化,不重新完整训练模型，而是在训练后将权重或激活转换为低精度格式，以减少模型大小和显存占用、提升推理效率。,部署优化
FP8,8-bit Floating Point,8 位浮点数,一种低精度浮点格式，常用于加速深度学习推理或训练，并降低显存消耗。,部署优化
GPU,Graphics Processing Unit,图形处理器,擅长并行计算的处理器，是训练和部署大模型的重要硬件基础。,硬件
RAG,Retrieval-Augmented Generation,检索增强生成,先从外部知识库检索相关内容，再让 LLM 基于检索结果生成答案，适合补充最新知识或企业私有知识。,应用
NIM,NVIDIA Inference Microservices,NVIDIA 推理微服务,NVIDIA 提供的模型推理部署微服务，用于更方便地部署和调用 AI 模型。,NVIDIA 生态
API,Application Programming Interface,应用程序编程接口,软件之间进行调用和交互的接口。若将刷题系统或模型系统接入其它平台，通常会使用 API。,系统开发
JSON,JavaScript Object Notation,JavaScript 对象表示法,一种轻量级结构化数据格式。题库和卡片系统中常用 JSON 存储题目、选项、答案和解析。,系统开发
CSV,Comma-Separated Values,逗号分隔值,一种表格数据格式，可用 Excel 打开。题库或卡片导出时常用于保存结构化内容。,系统开发
HTML,HyperText Markup Language,超文本标记语言,网页的基础标记语言。在线学习系统通常可以以 HTML 页面形式运行。,系统开发
UI,User Interface,用户界面,用户与系统交互的界面，例如学习页面、按钮、卡片显示区、筛选栏和测试区等。,系统开发
UX,User Experience,用户体验,用户使用系统时的整体体验，包括是否清晰、流畅、易用、反馈及时等。,系统开发
README,Read Me,说明文档,项目说明文件，通常包含使用方法、文件结构、运行步骤和注意事项。,系统开发
